File;Incident ID;Incident Date;State;City Or County;Address;Victims Killed;Victims Injured;Total Victims;Suspects Killed;Suspects Injured;Suspects Arrested;Business/Location Name;FIPS;County;LZIP;Population;Crime Rate;Unemployment;PopulrVoteParty;Cost of Living;Median Income;Diversity Rank (Race);Diversity Rank (Gender)
MS;1194057;2018-08-22T00:00:00Z;Missouri;St Louis;I-64 and Jefferson Ave;0;4;4;0;0;0;;29189;St. Louis County;63074.0;990414.0;29/1000;2.50%;R;$74576.04;$90980.90;3087.0;3086.0
MS;1192788;2018-08-21T00:00:00Z;Tennessee;Memphis;2119 E Alcy Rd;0;4;4;0;0;1;;47157;Shelby County;38106.0;916371.0;61/1000;4.73%;R;$65028.53;$67305.37;3104.0;3095.0
MS;1191368;2018-08-20T00:00:00Z;Tennessee;Jackson;60 Heritage Square;1;4;5;0;0;0;;47113;Madison County;38301.0;99245.0;43/1000;3.55%;R;$64534.52;$59989.23;2039.0;2356.0
MS;1192036;2018-08-20T00:00:00Z;Ohio;Cleveland;E 94th St and Kinsman Rd;1;3;4;0;0;0;;39035;Cuyahoga County;44141.0;1236041.0;33/1000;5.14%;R;$66327.70;$70358.12;3117.0;3106.0
MS;1191279;2018-08-19T00:00:00Z;Illinois;Chicago;7400 block of S Dante Ave;0;5;5;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1190035;2018-08-18T00:00:00Z;New York;Bronx;925 Allerton Ave;0;4;4;0;0;1;;36005;Bronx County;10456.0;1379946.0;22/1000;8.45%;D;$102815.48;$48566.82;3094.0;3118.0
MS;1189717;2018-08-17T00:00:00Z;Illinois;Chicago;1600 block of W 65th St;0;7;7;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1188597;2018-08-15T00:00:00Z;South Carolina;Greenwood;104 Mimosa Ct;0;5;5;0;0;0;;45047;Greenwood County;29649.0;69267.0;45/1000;3.82%;R;$56350.59;$55565.66;1672.0;2206.0
MS;1186888;2018-08-14T00:00:00Z;Pennsylvania;Wyncote;1000 S Easton Rd;0;5;5;0;0;1;;42091;Montgomery County;19468.0;864683.0;16/1000;3.61%;D;$93358.20;$116070.36;2962.0;2996.0
MS;1185622;2018-08-12T00:00:00Z;Pennsylvania;Pittsburgh;5600 block of Broad St;0;4;4;0;0;1;;42003;Allegheny County;15132.0;1233253.0;24/1000;4.39%;D;$72874.88;$87770.01;3081.0;3084.0
MS;1185520;2018-08-12T00:00:00Z;California;Clearlake;4786 Yarrington Ct;3;1;4;1;0;0;;6033;Lake County;95453.0;68191.0;31/1000;5.21%;D;$82909.16;$60824.04;2597.0;2743.0
MS;1184607;2018-08-11T00:00:00Z;Colorado;Thornton;4050 E 100th Ave;1;3;4;0;0;1;;8001;Adams County;80029.0;527575.0;35/1000;3.48%;D;$93063.48;$82814.55;3050.0;3015.0
MS;1186061;2018-08-11T00:00:00Z;California;San Francisco;Geneva St and Mission St;1;4;5;0;0;1;;6075;San Francisco County;94110.0;808437.0;68/1000;2.62%;D;$142391.32;$135125.17;3003.0;3009.0
