File,Incident ID,Incident Date,Day,Month,Year,State,City Or County,Address,Victims Killed,Victims Injured,Total Victims,Suspects Killed,Suspects Injured,Suspects Arrested,Business/Location Name,County
MS,1159528,2018-07-08T00:00:00Z,08,07,2018,Tennessee,Memphis,Mount Moriah Rd and Mendenhall Rd,0,4,4,0,0,0,,Shelby County
MS,1158826,2018-07-07T00:00:00Z,07,07,2018,Alabama,Wetumpka,135 Granite Way,2,2,4,1,0,0,,Elmore County
MS,1156480,2018-07-05T00:00:00Z,05,07,2018,New York,Brooklyn,280 Herkimer St,0,4,4,0,0,0,,Kings County
MS,1157073,2018-07-05T00:00:00Z,05,07,2018,New York,Albany,First St and Lexington Ave,0,4,4,0,0,0,,Albany County
MS,1156638,2018-07-05T00:00:00Z,05,07,2018,Virginia,Virginia Beach,1800 block of Atlantic Ave,0,6,6,0,0,1,,Virgina Beach City
MS,1157733,2018-07-05T00:00:00Z,05,07,2018,Ohio,Lima,1440 Bellefontaine Ave,1,5,6,0,0,0,,Allen County
MS,1156528,2018-07-05T00:00:00Z,05,07,2018,California,Los Angeles,1600 block of W. 2nd Street,3,3,6,0,0,0,,Los Angeles County
MS,1155906,2018-07-04T00:00:00Z,04,07,2018,Georgia,Atlanta,5456 E Fayetteville Rd,1,3,4,0,0,0,,Fulton County
MS,1155567,2018-07-03T00:00:00Z,03,07,2018,Missouri,St Louis,1700 block of Billups Ave,1,5,6,0,0,0,,St. Louis County
MS,1154998,2018-07-03T00:00:00Z,03,07,2018,District of Columbia,Washington,1700 block of Benning Rd NE,0,4,4,0,0,0,,District of Columbia
MS,1154558,2018-07-02T00:00:00Z,02,07,2018,New York,Buffalo,Grape St,2,2,4,0,0,1,,Erie County
MS,1153997,2018-07-01T00:00:00Z,01,07,2018,Illinois,Chicago,3400 block of W Walnut Ave,0,6,6,0,0,0,,Cook County
MS,1153531,2018-06-30T00:00:00Z,30,06,2018,Maryland,Baltimore,4000 block of Penhurst Ave,0,6,6,0,0,0,,Baltimore City
MS,1153134,2018-06-30T00:00:00Z,30,06,2018,Georgia,Ashburn,800 Block of W. Washington,1,6,7,0,0,2,,Turner County
MS,1153471,2018-06-30T00:00:00Z,30,06,2018,New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,0,5,5,0,0,1,,Hudson County
MS,1151584,2018-06-28T00:00:00Z,28,06,2018,Maryland,Annapolis,888 Bestgate Rd,5,0,5,0,0,1,,Anne Arundel County
MS,1151355,2018-06-27T00:00:00Z,27,06,2018,California,Oakland,8901 MacArthur Boulevard,1,3,4,0,0,0,,Alameda County
MS,1151527,2018-06-27T00:00:00Z,27,06,2018,Texas,San Antonio,100 block of Holly Street,0,4,4,0,0,1,,Bexar County
MS,1151373,2018-06-27T00:00:00Z,27,06,2018,Connecticut,Hartford,124 Hillside Ave,0,4,4,0,0,0,,Capitol Planning Region
MS,1149910,2018-06-25T00:00:00Z,25,06,2018,Illinois,Chicago,3900 block of S Vincennes Ave,0,6,6,0,0,0,,Cook County
MS,1148468,2018-06-24T00:00:00Z,24,06,2018,North Carolina,Sanford,109 S Steele St,1,5,6,0,1,1,,Lee County
MS,1148678,2018-06-24T00:00:00Z,24,06,2018,Florida,Punta Gorda,2450 Harbour Dr,0,4,4,0,0,0,,Charlotte County
MS,1148647,2018-06-24T00:00:00Z,24,06,2018,Florida,Indiantown,17068 SW Palm Beach St,0,4,4,0,0,0,,Martin County
MS,1149173,2018-06-24T00:00:00Z,24,06,2018,Florida,Palm Beach Gardens (Riviera Beach),1200 block of W 35th St,1,3,4,0,0,0,,County not found
MS,1149463,2018-06-24T00:00:00Z,24,06,2018,Indiana,Gary,2500 block of Harrison Street,1,3,4,0,0,0,,Lake County
MS,1148596,2018-06-24T00:00:00Z,24,06,2018,Ohio,Sandusky,1504 Milan Rd,0,5,5,0,0,0,,Erie County
MS,1148042,2018-06-23T00:00:00Z,23,06,2018,Kansas,Wichita,1403 Harding  St,0,4,4,0,0,0,,Sedgwick County
